  
      DIFFERENCES BETWEEN STEPHENS 1550 and SCRIVENER 1894
      (Only the first difference in any verse is given --
              verses noted need to be checked!)

   Note: even though in the main texts the capitalized titles 
   of the NT books have been omitted, the report of these is
   included here since some variations also affect the first
   verse of a book (e.g. 2Pet.1:1).  Final subscriptions to
   those epistles which contain them in the AV are also not
   included in this list.  (Minor subscriptions such as
   "According to Mark" have been omitted from the main text,
   along with the capitalized titles).

MT      1:1     Position  1 = TO  [EUAGGELION
MT      2:11    Position  6 = euron  eidon
MT      2:23    Position  7 = nazaret  nazarey
MT      4:13    Position  4 = nazaret  nazarey
MT      9:18    Position  7 = elywn  eiv
MT      9:33    Position 13 = oti  oudepote
MT      10:10   Position 11 = rabdon  rabdouv
MT      10:25   Position 20 = beelzeboul  beelzeboub
MT      11:21   Position  6 = bhysaidan  bhysaida
MT      13:24   Position 12 = speironti  speiranti
MT      18:30   Position  5 = alla  all
MT      21:7    Position 15 = epekayisen  epekayisan
MT      21:11   Position 12 = nazaret  nazarey
MT      23:13   Position  9 = katesyiete  kleiete
MT      23:14   Position  8 = kleiete  katesyiete
MT      24:15   Position 14 = estov  estwv

MR      1:1     Position  1 = TO  [EUAGGELION
MR      1:9     Position 10 = nazaret  nazarey
MR      4:18    Position  9 = outoi  oi
MR      5:38    Position 11 = klaiontav  kai
MR      6:9     Position  6 = endushsye  endusasyai
MR      6:29    Position 16 = tw  mnhmeiw
MR      6:45    Position 17 = bhysaidan  bhysaida
MR      6:53    Position  7 = genhsaret  gennhsaret
MR      8:14    Position  3 = labein  oi
MR      8:22    Position  4 = bhysaidan  bhysaida
MR      8:24    Position  7 = oti  wv
MR      9:38    Position 10 = tw  en
MR      9:40    Position  6 = umwn  hmwn
MR      9:42    Position  8 = twn  toutwn
MR      10:25   Position  9 = eiselyein  dielyein
MR      12:20   Position  2 = adelfoi  oun
MR      13:9    Position 19 = stayhsesye  acyhsesye
MR      13:14   Position 14 = estov  estwv
MR      15:4    Position  0 = 15:4  autov

LU      1:1     Position  1 = TO  [EUAGGELION
LU      1:26    Position 20 = nazaret  nazarey
LU      1:35    Position 21 = agion  ek
LU      2:4     Position 10 = nazaret  nazarey
LU      2:22    Position  8 = autwn  authv
LU      2:25    Position  9 = sumewn  simewn
LU      2:34    Position  4 = sumewn  simewn
LU      2:39    Position 18 = nazaret  nazarey
LU      2:51    Position  8 = nazaret  nazarey
LU      3:30    Position  2 = sumewn  simewn
LU      3:31    Position  4 = mainan  menam
LU      4:16    Position  5 = nazaret  nazarey
LU      6:37    Position  1 = kai  mh
LU      7:12    Position 26 = sun  hn
LU      8:29    Position  1 = parhggellen  parhggeile
LU      8:31    Position  2 = parekalei  parekaloun
LU      10:6    Position  6 = uiov  o
LU      10:19   Position 24 = adikhsh  adikhsei
LU      10:22   Position  1 = kai  panta
LU      12:20   Position  6 = afrwn  afron
LU      12:56   Position  4 = thv  tou
LU      15:26   Position  6 = autou  epunyaneto
LU      16:8    Position 27 = thn  eautwn
LU      17:35   Position  7 = mia  h
LU      20:31   Position 11 = ou  kai
LU      20:32   Position  2 = de  pantwn
LU      22:42   Position  5 = parenegkein  parenegke
LU      22:45   Position 10 = euren  autou

JOH     1:1     Position  1 = TO  [EUAGGELION
JOH     1:45    Position 25 = nazaret  nazarey
JOH     1:46    Position  6 = nazaret  nazarey
JOH     4:37    Position  7 = o  alhyinov
JOH     5:5     Position  6 = triakontaoktw  triakonta
JOH     6:28    Position  6 = poioumen  poiwmen
JOH     8:7     Position  0 = 8:7  mh
JOH     8:42    Position  2 = oun  autoiv
JOH     12:6    Position 11 = all  alla
JOH     13:31   Position  2 = exhlyen  oun
JOH     16:25   Position  6 = all  ercetai
JOH     16:33   Position 13 = ecete  exete
JOH     18:15   Position  8 = o  allov
JOH     18:24   Position  2 = auton  oun
JOH     19:7    Position 18 = yeou  tou
JOH     19:31   Position  4 = ina  epei

AC      1:1     Position  1 = PRAXEIS  [PRAXEIS
AC      1:4     Position  3 = parhggeilen  met
AC      1:24    Position 13 = ena  on
AC      3:3     Position 13 = labein  3:4
AC      4:32    Position 14 = oude  oud
AC      5:12    Position  7 = egeneto  egineto
AC      7:16    Position  4 = sucem  sicem
AC      7:26    Position  2 = te  de
AC      7:44    Position  6 = en  toiv
AC      8:13    Position 15 = shmeia  dunameiv
AC      8:19    Position  9 = an  ean
AC      8:28    Position 10 = kai  aneginwsken
AC      9:35    Position 10 = sarwnan  sarwna
AC      10:38   Position  4 = nazaret  nazarey
AC      14:8    Position 18 = peripepathkei  periepepathkei
AC      15:32   Position  2 = te  de
AC      17:25   Position 14 = kata  kai
AC      19:27   Position 24 = de  te
AC      19:33   Position  7 = probalontwn  proballontwn
AC      20:32   Position  2 = tanun  ta
AC      21:4    Position  3 = touv  mayhtav
AC      21:8    Position  9 = hlyon  hlyomen
AC      22:25   Position  3 = proeteinen  proeteinan
AC      23:16   Position  8 = to  thn
AC      24:13   Position  3 = me  dunantai
AC      24:18   Position 16 = de  apo
AC      24:19   Position  2 = dei  edei
AC      25:5    Position 11 = en  atopon
AC      26:3    Position  5 = pantwn  eidwv
AC      26:18   Position  4 = tou  kai
AC      26:20   Position 18 = apaggellwn  aphggellon
AC      27:3    Position 16 = filouv  touv
AC      27:22   Position  2 = tanun  ta
AC      27:29   Position  7 = ekpeswsin  ekpeswmen

RO      1:1     Position  1 = PAULOU  [PAULOU
RO      1:27    Position  5 = arrenev  arsenev
RO      7:6     Position  7 = apoyanontev  apoyanontov
RO      8:11    Position 26 = to  tou
RO      12:11   Position  9 = kairw  kuriw
RO      16:21   Position  0 = 16:21  amhn
RO      16:27   Position  7 = w  h

1CO     1:1     Position  1 = H  [PAULOU
1CO     5:7     Position 20 = etuyh  eyuyh
1CO     7:29    Position  5 = o  oti
1CO     13:2    Position 27 = ouyen  ouden
1CO     14:10   Position 11 = autwn  afwnon
1CO     15:31   Position  6 = hmeteran  umeteran

2CO     1:1     Position  1 = H  [PAULOU
2CO     3:1     Position  5 = ei  h
2CO     5:4     Position 10 = epeidh  ef
2CO     6:15    Position  6 = beliar  belial
2CO     7:12    Position 20 = umwn  hmwn
2CO     7:16    Position  2 = oti  oun
2CO     11:10   Position 11 = sfragisetai  fraghsetai
2CO     13:4    Position 14 = hmeiv  kai

